no;year;id;wks;union;independen
324;2;47;49;0;6.905749798
325;3;47;48;0;7.047520161
326;4;47;48;0;7.090079784
327;5;47;48;0;7.207859993
328;6;47;47;0;7.118020058
329;7;47;48;0;7.090079784
330;1;48;50;0;6.905749798
331;2;48;50;0;6.905749798
332;3;48;50;0;7.130899906
333;4;48;50;0;7.226210117
334;5;48;48;0;7.130899906
335;6;48;41;0;7.313220024
336;7;48;49;0;7.438379765
337;1;49;47;0;6.905749798
338;2;49;46;0;6.905749798
339;3;49;47;0;7.600900173
340;4;49;48;0;7.676010132
341;5;49;47;0;7.7020998
342;6;49;49;0;7.696209908
343;7;49;48;0;7.820839882
344;1;50;50;1;6.270989895
345;2;50;45;1;6.398590088
346;3;50;43;1;6.483109951
347;4;50;48;1;6.556779861
348;5;50;46;1;6.655439854
349;6;50;32;1;6.748760223
350;7;50;28;1;6.849070072
351;1;51;45;0;6.905749798
352;2;51;48;0;6.905749798
353;3;51;48;0;7.600900173
354;4;51;47;0;7.649690151
355;5;51;48;0;7.82404995
356;6;51;47;0;7.863269806
357;7;51;44;0;7.919360161
358;1;52;46;0;6.905749798
359;2;52;49;0;6.905749798
360;3;52;49;0;7.244229794
361;4;52;48;0;7.130899906
362;5;52;48;0;7.467370033
363;6;52;48;0;7.600900173
364;7;52;49;1;7.649690151
365;1;53;47;0;6.436150074
366;2;53;49;0;6.905749798
367;3;53;48;0;6.956550121
368;4;53;49;0;6.956550121
369;5;53;48;0;7.060480118
370;6;53;47;0;7.207859993
371;7;53;48;0;7.207859993
372;1;54;47;1;6.511750221
373;2;54;52;1;6.590300083
374;3;54;51;1;6.68460989
375;4;54;51;1;6.745240211
376;5;54;49;1;6.897699833
377;6;54;49;1;7.077499866
378;7;54;50;1;7.100029945
379;1;55;49;1;6.654150009
380;2;55;49;1;6.850130081
381;3;55;49;1;6.856460094
382;4;55;47;1;6.923630238
383;5;55;48;1;7.041409969
384;6;55;47;1;7.133299828
385;7;55;46;1;7.207859993
386;1;56;51;0;6.109250069
387;2;56;49;0;6.163310051
388;3;56;52;0;6.333280087
389;4;56;52;0;6.333280087
390;5;56;48;0;6.437749863
391;6;56;50;0;6.586170197
392;7;56;50;0;6.533790112
393;1;57;47;0;6.040249825
394;2;57;49;0;6.289720058
395;3;57;49;0;6.016160011
396;4;57;49;0;6.577859879
397;5;57;47;0;6.551080227
398;6;57;48;0;6.532330036
399;7;57;48;0;6.313549995
400;1;58;49;1;6.551080227
401;2;58;48;1;6.68460989
402;3;58;40;1;6.697030067
403;4;58;48;0;6.907760143
404;5;58;48;1;7.003069878
405;6;58;48;1;7.162399769
406;7;58;48;0;7.130899906
407;1;59;48;0;6.905749798
408;2;59;49;0;6.905749798
409;3;59;48;0;7.346010208
410;4;59;47;0;7.438379765
411;5;59;46;0;7.48156023
412;6;59;48;0;7.600900173
413;7;59;46;0;7.649690151
414;1;60;46;1;5.976349831
415;2;60;39;1;6.040249825
416;3;60;44;1;6.040249825
417;4;60;49;1;6.040249825
418;5;60;48;1;6.120299816
419;6;60;47;1;6.218599796
420;7;60;43;1;6.171700001
421;1;61;50;1;6.785590172
422;2;61;51;0;6.888569832
423;3;61;51;0;6.887549877
424;4;61;50;0;6.968850136
425;5;61;22;0;6.856460094
426;6;61;41;0;6.73815012
427;7;61;26;0;7.130899906
428;1;62;50;0;6.580639839
429;2;62;50;0;6.835179806
430;3;62;50;0;6.912740231
431;4;62;50;0;6.958449841
432;5;62;49;0;6.925600052
433;6;62;49;0;7.237780094
434;7;62;49;0;7.272399902
435;1;63;50;0;6.905749798
436;2;63;49;0;6.905749798
437;3;63;50;0;7.495540142
438;4;63;49;0;7.549610138
439;5;63;49;0;7.525640011
440;6;63;48;0;7.728859901
441;7;63;50;0;7.366449833
442;1;64;44;0;6.356110096
443;2;64;46;0;6.421619892
444;3;64;49;0;6.476970196
445;4;64;48;0;6.536690235
446;5;64;45;0;6.551080227
447;6;64;47;0;6.68460989
448;7;64;50;0;6.802390099
449;1;65;46;1;6.55535984
450;2;65;44;1;6.622739792
451;3;65;45;1;6.722630024
452;4;65;46;1;6.779920101
453;5;65;36;1;6.938280106
454;6;65;45;1;7.034389973
455;7;65;45;1;7.045780182
456;1;66;49;0;6.308100224
457;2;66;49;0;6.396930218
458;3;66;47;0;6.517670155
459;4;66;49;0;6.61070013
460;5;66;47;0;6.687109947
461;6;66;44;0;6.7707901
462;7;66;48;0;6.856460094
463;1;67;50;0;5.966149807
464;2;67;50;0;6.028279781
465;3;67;49;0;6.152729988
466;4;67;50;0;6.2146101
467;5;67;50;0;6.309919834
468;6;67;50;0;6.445720196
469;7;67;49;0;6.476970196
470;1;68;40;1;6.458340168
471;2;68;47;1;6.507279873
472;3;68;42;1;6.568079948
473;4;68;45;1;6.668230057
474;5;68;47;1;6.755770206
475;6;68;47;1;6.802390099
476;7;68;46;1;6.956550121
477;1;69;49;0;6.405230045
478;2;69;46;0;6.556779861
479;3;69;47;0;6.620069981
480;4;69;47;0;6.620069981
481;5;69;47;0;6.70318985
482;6;69;48;0;6.835179806
483;7;69;48;0;6.930490017
484;1;70;49;0;6.476970196
485;2;70;48;0;6.476970196
486;3;70;49;0;6.620069981
487;4;70;49;0;6.802390099
488;5;70;48;0;6.907760143
489;6;70;48;0;6.907760143
490;7;70;48;0;7.170119762
491;1;71;48;0;6.697030067
492;2;71;49;0;6.802390099
493;3;71;49;0;6.897699833
494;4;71;48;0;6.956550121
495;5;71;46;0;7.130899906
496;6;71;48;0;7.244229794
497;7;71;48;0;7.40184021
498;1;72;40;1;6.476970196
499;2;72;40;1;6.620069981
500;3;72;42;1;6.620069981
501;4;72;40;1;6.68460989
502;5;72;40;1;6.856460094
503;6;72;40;1;6.907760143
504;7;72;42;1;7.003069878
505;1;73;49;1;6.461470127
506;2;73;49;1;6.655439854
507;3;73;49;1;6.734590054
508;4;73;48;1;6.813439846
509;5;73;47;1;6.914730072
510;6;73;47;1;6.853300095
511;7;73;47;1;7.113140106
512;1;74;51;0;5.416100025
513;2;74;51;0;5.521460056
514;3;74;51;0;5.598420143
515;4;74;45;0;5.703780174
516;5;74;50;0;5.768320084
517;6;74;50;0;5.886099815
518;7;74;52;0;5.857930183
519;1;75;36;0;5.669879913
520;2;75;51;0;5.991459846
521;3;75;51;0;6.086770058
522;4;75;24;0;6.173789978
523;5;75;50;0;6.255750179
524;6;75;51;0;6.437749863
525;7;75;47;0;6.445720196
526;1;76;51;0;5.164790154
527;2;76;47;0;5.62762022
528;3;76;50;0;5.843540192
529;4;76;48;0;5.961009979
530;5;76;47;1;6.028279781
531;6;76;47;1;6.152729988
532;7;76;49;0;6.246109962
533;1;77;48;0;5.521460056
534;2;77;52;0;5.703780174
535;3;77;51;0;6.204559803
536;4;77;50;0;6.059120178
537;5;77;39;0;6.198480129
538;6;77;29;0;6.16121006
539;7;77;39;0;6.280399799
540;1;78;44;0;5.703780174
541;2;78;52;0;5.783830166
542;3;78;46;0;5.783830166
543;4;78;48;0;6.163310051
544;5;78;49;0;6.2146101
545;6;78;50;0;6.2146101
546;7;78;50;0;6.309919834
547;1;79;50;0;5.429349899
548;2;79;50;0;5.472270012
549;3;79;50;0;5.645450115
550;4;79;50;0;5.686979771
551;5;79;37;0;5.857930183
552;6;79;50;0;5.953239918
553;7;79;50;0;6.052090168
554;1;80;48;0;6.745240211
555;2;80;50;0;6.816740036
556;3;80;50;0;6.659289837
557;4;80;50;0;7.090079784
558;5;80;50;0;7.079179764
559;6;80;50;0;6.98472023
560;7;80;50;0;7.261929989
561;1;81;46;1;6.354370117
562;2;81;48;1;6.336830139
563;3;81;47;1;6.437749863
564;4;81;49;1;6.396930218
565;5;81;49;0;7.233459949
566;6;81;49;0;7.358829975
567;7;81;50;0;7.173190117
568;1;82;50;1;6.620069981
569;2;82;49;1;6.665679932
570;3;82;44;1;6.814539909
571;4;82;38;1;6.888569832
572;5;82;49;1;6.957499981
573;6;82;50;1;6.933420181
574;7;82;36;1;7.065609932
575;1;83;47;1;6.122489929
576;2;83;46;1;6.089039803
577;3;83;47;1;6.291570187
578;4;83;42;1;6.396930218
579;5;83;48;1;6.490719795
580;6;83;47;1;6.597149849
581;7;83;46;1;6.56385994
582;1;84;42;0;6.586170197
583;2;84;34;0;6.620069981
584;3;84;48;0;6.620069981
585;4;84;46;0;6.401919842
586;5;84;49;0;6.77421999
587;6;84;34;0;6.925600052
588;7;84;47;0;6.700729847
589;1;85;51;1;6.163310051
590;2;85;49;1;6.226540089
591;3;85;50;1;6.320769787
592;4;85;50;1;6.455200195
593;5;85;48;1;6.514709949
594;6;85;50;1;6.620069981
595;7;85;49;1;6.668230057
596;1;86;37;0;6.2146101
597;2;86;49;0;6.715380192
598;3;86;38;0;6.437749863
599;4;86;49;0;6.656730175
600;5;86;39;0;6.659289837
601;6;86;51;0;6.864850044
602;7;86;48;0;6.652860165
603;1;87;41;1;6.542469978
604;2;87;49;1;6.602590084
605;3;87;32;1;6.746409893
606;4;87;50;1;6.864850044
607;5;87;46;1;6.958449841
608;6;87;49;1;7.01391983
609;7;87;49;1;7.115580082
610;1;88;49;0;6.369900227
611;2;88;48;0;6.396930218
612;3;88;48;0;6.559619904
613;4;88;48;0;6.731019974
614;5;88;48;0;6.864850044
615;6;88;47;0;7.154620171
616;7;88;49;0;7.272399902
617;1;89;48;0;6.052090168
618;2;89;47;0;6.023449898
619;3;89;50;0;6.309919834
620;4;89;50;0;6.380119801
621;5;89;49;0;6.659289837
622;6;89;49;0;6.68460989
623;7;89;49;0;6.739339828
624;1;90;48;0;6.2146101
625;2;90;48;0;6.2146101
626;3;90;48;0;6.309919834
627;4;90;48;0;6.396930218
628;5;90;47;0;6.2146101
629;6;90;47;0;6.396930218
630;7;90;49;0;6.652860165
631;1;91;39;1;6.343880177
632;2;91;21;1;6.413459778
633;3;91;40;1;6.727429867
634;4;91;50;1;6.765039921
635;5;91;50;1;6.856460094
636;6;91;43;1;7.003069878
637;7;91;42;1;7.170119762
638;1;92;50;1;6.476970196
639;2;92;49;1;6.586170197
640;3;92;45;1;6.733399868
641;4;92;38;1;6.813439846
642;5;92;48;1;6.961299896
643;6;92;17;0;6.502789974
644;7;92;47;1;6.701960087
645;1;93;49;1;5.991459846
646;2;93;34;0;6.177939892
647;3;93;51;0;6.177939892
648;4;93;50;1;6.396930218
649;5;93;50;1;6.501289845
650;6;93;46;1;6.606649876
651;7;93;31;1;6.907760143
652;1;94;36;1;6.791220188
653;2;94;36;1;6.845880032
654;3;94;38;1;6.872129917
655;4;94;36;1;6.956550121
656;5;94;38;1;7.096720219
657;6;94;41;1;7.160850048
658;7;94;34;1;7.160850048
659;1;95;48;1;6.284130096
660;2;95;48;1;6.327939987
661;3;95;35;1;6.476970196
662;4;95;47;1;6.504290104
663;5;95;46;1;6.587550163
664;6;95;47;1;6.765039921
665;7;95;47;1;6.810140133
666;1;96;50;0;6.905749798
667;2;96;50;0;6.905749798
668;3;96;50;0;7.346010208
669;4;96;49;0;7.207859993
670;5;96;49;0;7.522940159
671;6;96;48;0;7.676010132
672;7;96;49;0;7.783219814
673;1;97;39;0;6.109250069
674;2;97;50;0;6.226540089
675;3;97;50;0;6.313549995
676;4;97;49;0;6.419990063
677;5;97;49;0;6.514709949
678;6;97;49;0;6.628039837
679;7;97;48;0;6.831950188
680;1;98;50;0;6.727429867
681;2;98;52;0;6.897699833
682;3;98;52;0;6.983789921
683;4;98;52;0;7.079179764
684;5;98;50;0;7.170119762
685;6;98;50;0;7.14756012
686;7;98;50;0;7.365180016
687;1;99;49;0;5.780739784
688;2;99;49;0;5.826000214
689;3;99;50;0;5.846439838
690;4;99;45;0;5.955840111
691;5;99;47;0;6.066110134
692;6;99;45;0;6.190320015
693;7;99;49;0;6.236370087
694;1;100;44;0;5.991459846
695;2;100;51;0;6.109250069
696;3;100;51;0;6.396930218
697;4;100;51;0;6.396930218
698;5;100;50;0;6.476970196
699;6;100;51;0;6.476970196
700;7;100;51;0;6.551080227
701;1;101;47;0;6.697030067
702;2;101;47;0;6.796820164
703;3;101;36;0;6.89467001
704;4;101;46;0;6.968850136
705;5;101;43;0;6.925600052
706;6;101;44;0;7.180069923
707;7;101;45;0;7.172420025
708;1;102;50;0;6.68460989
709;2;102;50;0;6.802390099
710;3;102;49;0;6.907760143
711;4;102;48;0;7.047520161
712;5;102;49;0;7.047520161
713;6;102;49;0;7.313220024
714;7;102;49;0;7.438379765
715;1;103;35;0;6.309919834
716;2;103;35;0;6.586170197
717;3;103;44;0;6.620069981
718;4;103;43;0;6.907760143
719;5;103;42;0;6.966020107
720;6;103;42;0;7.069019794
721;7;103;43;0;6.956550121
722;1;104;52;0;5.736569881
723;2;104;51;0;5.814129829
724;3;104;50;0;5.89989996
725;4;104;50;0;5.940169811
726;5;104;50;0;6.131229877
727;6;104;49;0;6.131229877
728;7;104;48;0;6.109250069
729;1;105;49;0;6.672029972
730;2;105;48;0;6.842679977
731;3;105;47;0;6.840549946
732;4;105;48;0;6.856460094
733;5;105;49;0;6.994850159
734;6;105;46;0;7.05618
735;7;105;47;0;7.297090054
736;1;106;49;0;6.363029957
737;2;106;51;0;6.476970196
738;3;106;50;0;6.57227993
739;4;106;49;0;6.659289837
740;5;106;49;0;6.802390099
741;6;106;48;0;6.58893013
742;7;106;49;0;6.768489838
743;1;107;47;0;6.905749798
744;2;107;48;0;6.905749798
745;3;107;48;0;7.130899906
746;4;107;45;0;7.130899906
747;5;107;41;0;7.313220024
748;6;107;42;0;7.329750061
749;7;107;47;0;7.495540142
750;1;108;31;1;6.246109962
751;2;108;51;0;6.2146101
752;3;108;45;1;6.476970196
753;4;108;49;1;6.496769905
754;5;108;48;1;6.614729881
755;6;108;47;1;6.745240211
756;7;108;45;1;7.130899906
757;1;109;48;1;6.745240211
758;2;109;48;0;6.813439846
759;3;109;48;0;6.872129917
760;4;109;47;0;7.106609821
761;5;109;47;0;7.244229794
762;6;109;47;0;7.299799919
763;7;109;49;0;7.377759933
764;1;110;47;1;6.507279873
765;2;110;46;1;6.551080227
766;3;110;46;1;6.877299786
767;4;110;46;1;6.551080227
768;5;110;47;1;7.047520161
769;6;110;47;1;6.834109783
770;7;110;40;1;6.745240211
771;1;111;50;0;6.109250069
772;2;111;49;0;6.313549995
773;3;111;49;0;6.453619957
774;4;111;49;0;6.68460989
775;5;111;51;0;6.791220188
776;6;111;52;0;6.835179806
777;7;111;49;0;6.967909813
778;1;112;49;0;6.905749798
779;2;112;49;0;6.905749798
780;3;112;49;0;7.11070013
781;4;112;48;0;7.251339912
782;5;112;46;0;7.346010208
783;6;112;46;0;7.346010208
784;7;112;48;0;7.299799919
785;1;113;39;0;6.905749798
786;2;113;36;0;6.905749798
787;3;113;50;0;7.170119762
788;4;113;48;0;7.455299854
789;5;113;48;0;7.560080051
790;6;113;39;0;7.372119904
791;7;113;39;0;7.755770206
792;1;114;50;0;6.289720058
793;2;114;50;0;6.361299992
794;3;114;50;0;6.436150074
795;4;114;50;0;6.434549809
796;5;114;49;0;6.411819935
797;6;114;49;0;6.369900227
798;7;114;49;0;6.467700005
799;1;115;49;0;6.694560051
800;2;115;49;0;6.768489838
801;3;115;49;0;6.907760143
802;4;115;49;0;7.039659977
803;5;115;49;0;7.025539875
804;6;115;49;0;7.227660179
805;7;115;48;0;7.21228981
806;1;116;50;1;6.74052
807;2;116;50;1;6.829790115
808;3;116;49;1;6.802390099
809;4;116;48;1;6.94698
810;5;116;50;1;7.010310173
811;6;116;49;1;7.135690212
812;7;116;48;1;7.068170071
813;1;117;38;0;6.579249859
814;2;117;36;1;6.396930218
815;3;117;39;1;6.620069981
816;4;117;42;1;6.709300041
817;5;117;39;1;6.768489838
818;6;117;27;1;6.935369968
819;7;117;43;1;7.047520161
820;1;118;41;1;6.586170197
821;2;118;48;1;6.68460989
822;3;118;48;1;6.715380192
823;4;118;47;1;6.77421999
824;5;118;41;1;6.856460094
825;6;118;43;1;6.916719913
826;7;118;47;1;6.999420166
827;1;119;50;0;6.905749798
828;2;119;50;0;6.905749798
829;3;119;51;0;8.086409569
830;4;119;49;0;8.229510307
831;5;119;52;0;7.909860134
832;6;119;50;0;8.120889664
833;7;119;50;0;8.536999702
834;1;120;51;0;6.244170189
835;2;120;50;0;6.396930218
836;3;120;50;0;6.907760143
837;4;120;49;0;6.907760143
838;5;120;50;0;6.771940231
839;6;120;50;0;6.866930008
840;7;120;49;0;6.907760143
841;1;121;51;0;6.905749798
842;2;121;49;0;6.905749798
843;3;121;49;0;7.467370033
844;4;121;48;0;7.522940159
845;5;121;49;0;7.600900173
846;6;121;50;0;7.507689953
847;7;121;49;0;7.649690151
848;1;122;49;1;6.620069981
849;2;122;48;1;6.714169979
850;3;122;48;1;6.818920135
851;4;122;49;1;6.976349831
852;5;122;48;1;6.926579952
853;6;122;49;1;7.003069878
854;7;122;50;1;7.003069878
855;1;123;47;1;6.309919834
856;2;123;43;1;6.551080227
857;3;123;50;1;6.565259933
858;4;123;47;1;6.745240211
859;5;123;47;1;6.939249992
860;6;123;39;1;6.956550121
861;7;123;29;1;7.003069878
862;1;124;49;0;6.897699833
863;2;124;50;0;6.905749798
864;3;124;49;0;7.170119762
865;4;124;49;0;7.313220024
866;5;124;49;0;7.377759933
867;6;124;49;0;7.495540142
868;7;124;47;0;7.495540142
869;1;125;38;1;6.220590115
870;2;125;49;1;6.300789833
871;3;125;49;1;6.376729965
872;4;125;49;1;6.501289845
873;5;125;49;1;6.620069981
